Unnamed: 0,NO,Description,Quantity,Unit price,Total Price p,Author,ISBN,Publisher
,1.0,Introduction to probability and statistics for engineers and scientists: Third Edition,3.0,440751.0,1322254.0,Unknown Author,N/A,Unknown Publisher
,2.0,Discrete Mathematics and its Applications: Seventh Edition,3.0,234235.0,702706.0,Unknown Author,9780763753818,Unknown Publisher
,3.0,Applied Numerical Analysis: Seventh Edition,3.0,94320.0,282960.0,Unknown Author,N/A,Unknown Publisher
,4.0,"Linear Algebra and Its Applications, 4th Edition",3.0,114073.0,342219.0,Unknown Author,N/A,Unknown Publisher
,5.0,Discrete and Combinatorial Mathematics: 5th edition,3.0,235883.0,707650.0,Unknown Author,N/A,Unknown Publisher
,6.0,Differential Equations and Boundary Values Problems. Computing and Modeling: 5 edition,3.0,235883.0,707650.0,Unknown Author,N/A,Unknown Publisher
,7.0,Introduction to Graph Theory,3.0,170000.0,510000.0,Unknown Author,N/A,Unknown Publisher
,,Second Edition,,,,Unknown Author,N/A,Unknown Publisher
,8.0,Single Variable Calculus Early transcendental:  Eighth edition,3.0,251539.0,754618.0,Unknown Author,9780763753818,Unknown Publisher
,9.0,Cambridge Grammar of English,1.0,228907.0,228907.0,Unknown Author,N/A,Unknown Publisher
,10.0,Curriculum Development: A Textbook for Students ,1.0,20790.0,20790.0,Unknown Author,N/A,Unknown Publisher
,11.0,Practical English Usage ,1.0,191003.0,191003.0,Unknown Author,N/A,Unknown Publisher
,12.0,The Practice of English Language Teaching. (3rd Ed).,1.0,54483.0,54483.0,Unknown Author,N/A,Unknown Publisher
,13.0,A communicative grammar of English third edition,1.0,142387.0,142387.0,Unknown Author,N/A,Unknown Publisher
,14.0,"A field guide for science writers, second edition",1.0,29672.0,29672.0,Unknown Author,N/A,Unknown Publisher
,15.0,"A guide to research and writing, third edition",1.0,59163.0,59163.0,Unknown Author,N/A,Unknown Publisher
,16.0,A practical course in English pronunciation With CD,1.0,59163.0,59163.0,Unknown Author,N/A,Unknown Publisher
,17.0,A university grammar of English,1.0,22907.0,22907.0,Unknown Author,N/A,Unknown Publisher
,18.0,A workbook on english grammar and composition,1.0,146507.0,146507.0,Unknown Author,N/A,Unknown Publisher
,19.0,"Academic writing for graduates students : Essential tasks and skills ,second edition",1.0,17139.0,17139.0,Unknown Author,N/A,Unknown Publisher
,20.0,"Advanced English grammar : A self-study reference and practice book for advanced south asian students,with answers",6.0,39991.0,239947.0,Unknown Author,N/A,Unknown Publisher
,21.0,"Advanced grammar in use : A self-study reference and practice book for advanced learners of English,with answers",1.0,28181.0,28181.0,Unknown Author,N/A,Unknown Publisher
,22.0,"Advanced grammar in use,second edition : A self-study reference and practice book for advanced learners of English,with answers",1.0,43507.0,43507.0,Unknown Author,N/A,Unknown Publisher
,23.0,Beyond words : Cultural texts for Reading and writing 2nd Edition,1.0,64107.0,64107.0,Unknown Author,N/A,Unknown Publisher
,24.0,Cambridge advanced learner's dictionary,1.0,113547.0,113547.0,Unknown Author,N/A,Unknown Publisher
,25.0,Cambridge English for job- hunting,2.0,72018.0,144035.0,Error,N/A,Error
,26.0,"Cambridge English Pronouncing Dictionary, 18th edition = With CD",2.0,53066.0,106131.0,Error,N/A,Error
,27.0,Collins Dictionary&Thesaurus,1.0,119315.0,119315.0,Unknown Author,N/A,Unknown Publisher
,28.0,Collins English Dictionary&Thesaurus,1.0,27851.0,27851.0,Unknown Author,N/A,Unknown Publisher
,29.0,"Compact oxford Dictionary,thesaurus ,and word power guide",2.0,38234.0,76467.0,Unknown Author,N/A,Unknown Publisher
,30.0,Current english grammar and usage with composition,2.0,62954.0,125907.0,Unknown Author,N/A,Unknown Publisher
,31.0,"English grammar in use, third edition : A reference and practical book for intermediate students of english",1.0,18787.0,18787.0,Unknown Author,N/A,Unknown Publisher
,32.0,English grammar just for you,2.0,782000.0,1564000.0,Unknown Author,N/A,Unknown Publisher
,33.0,"English literature, Enlarged edition",3.0,71555.0,214666.0,Unknown Author,N/A,Unknown Publisher
,34.0,English pronunciation in use : Self-study and classroom use,1.0,31312.0,31312.0,Unknown Author,N/A,Unknown Publisher
,35.0,Essential system administration Second edition,1.0,35267.0,35267.0,Unknown Author,N/A,Unknown Publisher
,36.0,Essentials of assessment report writing,1.0,228907.0,228907.0,Unknown Author,N/A,Unknown Publisher
,37.0,"Great writing 4 : Great essays,third edition",1.0,12278.0,12278.0,Unknown Author,N/A,Unknown Publisher
,38.0,"How to read better and faster, fourth edition",1.0,68227.0,68227.0,Unknown Author,N/A,Unknown Publisher
,39.0,How to read faster and recall more Learn the art of speed reading with maximum recall,1.0,3296.0,3296.0,Unknown Author,N/A,Unknown Publisher
,40.0,"How to research, third edition",1.0,59987.0,59987.0,Unknown Author,N/A,Unknown Publisher
,41.0,"How to write essays : A step-by-step guide for all levels,with sample essays 2nd edition",1.0,31147.0,31147.0,Unknown Author,N/A,Unknown Publisher
,42.0,"Modern English grammar : Structure,meanings and usage",2.0,54714.0,109427.0,Unknown Author,N/A,Unknown Publisher
,43.0,Longman Dictionary of contemporary English,2.0,9394.0,18787.0,Unknown Author,N/A,Unknown Publisher
,44.0,"Oxford Advanced learner's dictionary of current english, 8th edition",2.0,17634.0,35267.0,Unknown Author,N/A,Unknown Publisher
,45.0,"Oxford dictionary of English, second edition, revised",1.0,213440.0,213440.0,Unknown Author,N/A,Unknown Publisher
,46.0,"Oxford dictionary of English, third edition",1.0,68227.0,68227.0,Unknown Author,9780199571123,Unknown Publisher
,47.0,Oxford english for electronics,7.0,29895.0,209263.0,Unknown Author,N/A,Unknown Publisher
,48.0,Oxford English for information technology : Teacher's guide,10.0,52242.0,522416.0,Unknown Author,N/A,Unknown Publisher
,49.0,Panorama Reading 3 Student Book: Building Perspective Through Reading 1st Edition,1.0,8116.0,8116.0,Unknown Author,N/A,Unknown Publisher
,50.0,Python Machine Learning From Scratch - Step by Step Guide with Scikit-Learn and TensorFlow,6.0,75918.0,455506.0,Unknown Author,N/A,Unknown Publisher
,51.0,Transformative Artificial Intelligence (AI) Driverless Self-Driving Cars: Practical Advances in AI and Machine Learning,4.0,40129.0,160515.0,Unknown Author,N/A,Unknown Publisher
,52.0,Python Machine Learning: A Technical Approach To Python Machine Learning For Beginners,6.0,26807.0,160843.0,Unknown Author,N/A,Unknown Publisher
,53.0,Robot is the Boss: How to do Business with Artificial Intelligence,4.0,157137.0,628547.0,Unknown Author,9783662557044,Unknown Publisher
,54.0,Building Intelligent Systems: A Guide to Machine Learning Engineering,4.0,41777.0,167107.0,Unknown Author,9781999579579,Unknown Publisher
,55.0,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems 1st Edition",4.0,74737.0,298947.0,Unknown Author,N/A,Unknown Publisher
,56.0,Python Data Science Handbook: Essential Tools for Working with Data 1st Edition,12.0,77098.0,925181.0,Unknown Author,N/A,Unknown Publisher
,57.0,Deep Learning (Adaptive Computation and Machine Learning series),4.0,103742.0,414966.0,Unknown Author,N/A,Unknown Publisher
,58.0,PHP & MySQL: The Missing Manual,12.0,26587.0,319046.0,Unknown Author,N/A,Unknown Publisher
,59.0,PHP and MySQL Web Development,10.0,72978.0,729784.0,Unknown Author,N/A,Unknown Publisher
,60.0,Programming PHP: Creating Dynamic Web Pages ,12.0,35898.0,430781.0,Unknown Author,N/A,Unknown Publisher
,61.0,"Learning PHP, MySQL, JavaScript, & CSS: A Step-by-Step Guide to Creating Dynamic Websites",12.0,13650.0,163805.0,Unknown Author,N/A,Unknown Publisher
,62.0,Murach’s PHP and MySQL,6.0,77098.0,462590.0,Unknown Author,N/A,Unknown Publisher
,63.0,"PHP In Action: Objects, Design, Agility: Modern Software Practices For Php",6.0,52378.0,314270.0,Unknown Author,N/A,Unknown Publisher
,64.0,PHP: A Beginner’s Guide,11.0,60618.0,666802.0,Unknown Author,N/A,Unknown Publisher
,65.0,Head First PHP & MySQL,12.0,36525.0,438295.0,Unknown Author,N/A,Unknown Publisher
,66.0,PHP & MySQL Novice to Ninja,12.0,33426.0,401117.0,Unknown Author,N/A,Unknown Publisher
,67.0,The Joy of PHP Programming: A Beginner’s Guide to Programming Interactive Web Applications with PHP and MySQL,12.0,28153.0,337833.0,Unknown Author,N/A,Unknown Publisher
,68.0,Learn Python 3 the Hard Way,12.0,36558.0,438691.0,Unknown Author,N/A,Unknown Publisher
,69.0,Effective Computation in Physics: Field Guide to Research with Python,6.0,57954.0,347726.0,Unknown Author,N/A,Unknown Publisher
,70.0,"Think Python: How to Think Like a Computer Scientist, 2nd edition",4.0,51665.0,206659.0,Unknown Author,N/A,Unknown Publisher
,71.0,"Invent Your Own Computer Games with Python, 4th edition",12.0,29702.0,356423.0,Unknown Author,N/A,Unknown Publisher
,72.0,"Head-First Python, 2nd edition",12.0,87646.0,1051747.0,Unknown Author,N/A,Unknown Publisher
,73.0,Python Crash Course,12.0,39013.0,468157.0,Unknown Author,N/A,Unknown Publisher
,74.0,Lab Manual for Murach's HTML5 and CSS3,2.0,156066.0,312131.0,Unknown Author,N/A,Unknown Publisher
,75.0,Html5 a Complete Guide,3.0,139475.0,418426.0,Unknown Author,N/A,Unknown Publisher
,76.0,HTML5 for Masterminds,2.0,40706.0,81411.0,Unknown Author,N/A,Unknown Publisher
,77.0,Mastering Bootstrap 4: Master the latest version of Bootstrap 4 to build highly customized responsive web apps,2.0,62954.0,125907.0,Unknown Author,N/A,Unknown Publisher
,78.0,"HTML, CSS, and JavaScript All in One",2.0,40706.0,81411.0,Unknown Author,N/A,Unknown Publisher
,79.0,"Learning PHP, MySQL & JavaScript: With jQuery, CSS & HTML5",2.0,48946.0,97891.0,Unknown Author,N/A,Unknown Publisher
,80.0,"Getting Mean with Mongo, Express, Angular, and Node",2.0,50594.0,101187.0,Unknown Author,N/A,Unknown Publisher
,81.0,JavaScript for impatient programmers,2.0,34114.0,68227.0,Unknown Author,N/A,Unknown Publisher
,82.0,"Web Programming with HTML5, CSS, and JavaScript Pap/Psc Edition,",2.0,149474.0,298947.0,Unknown Author,N/A,Unknown Publisher
,83.0,"Programming JavaScript Applications: Robust Web Architecture with Node, HTML5, and Moderns JS Libraries,",2.0,39058.0,78115.0,Unknown Author,N/A,Unknown Publisher
,84.0,Advanced JavaScript: Speed up web development with the powerful features and benefits of JavaScript,2.0,38234.0,76467.0,Unknown Author,N/A,Unknown Publisher
,85.0,Fundamentals of Database Systems. 7th Ed,5.0,260845.0,1304227.0,Unknown Author,9781292097619,Unknown Publisher
,86.0,Fundamentals of Database Systems. 5th Ed,5.0,157845.0,789227.0,Unknown Author,N/A,Unknown Publisher
,87.0,Database Systems 4th Ed,5.0,87805.0,439027.0,Unknown Author,N/A,Unknown Publisher
,88.0,Database Concepts 8th Ed,5.0,153725.0,768627.0,Unknown Author,N/A,Unknown Publisher
,89.0,Concepts of Database Management,5.0,116645.0,583227.0,Unknown Author,N/A,Unknown Publisher
,90.0,"Database Systems: Design, Implementation, & Management",5.0,153725.0,768627.0,Unknown Author,N/A,Unknown Publisher
,91.0,Databases Illuminated,5.0,157845.0,789227.0,Unknown Author,N/A,Unknown Publisher
,92.0,Computer Networking: A Top-Down Approach (7th Edition),5.0,149605.44,748027.2,Unknown Author,9780133594140,Unknown Publisher
,93.0,Computer Networks (5th Edition),5.0,150000.0,750000.0,Unknown Author,9780132126953,Unknown Publisher
,94.0,Networking for Beginners,5.0,34245.0,171227.0,Unknown Author,N/A,Unknown Publisher
,95.0,Computer Networking: A Top-Down Approach (6th Edition),5.0,75445.0,377227.0,Unknown Author,9789332518742,Unknown Publisher
,96.0,"Computer Networks and Internets, 6Th Edition",5.0,34245.0,171227.0,Unknown Author,9780133587937,Unknown Publisher
,97.0,Network Security Essentials Applications and Standards (5th Edition),5.0,162130.0,810651.0,Unknown Author,N/A,Unknown Publisher
,98.0,Data communications and Computer Networks: A Business User's Approach,5.0,162789.0,813947.0,Unknown Author,9781133626466,Unknown Publisher
,99.0,Introduction to Computer Networks and Cybersecurity,5.0,145485.0,727427.0,Unknown Author,N/A,Unknown Publisher
,100.0,Wireless Networking Absolute Beginner's Guide,5.0,34245.0,171227.0,Unknown Author,N/A,Unknown Publisher
,101.0,Data Structures and Algorithms in Java Second Edition,4.0,50017.0,200067.0,Unknown Author,9783540760474,Unknown Publisher
,102.0,"Code Complete: A Practical Handbook of Software Construction, Second Edition",4.0,70617.0,282467.0,Unknown Author,N/A,Unknown Publisher
,103.0,The Pragmatic Programmer: From Journeyman to Master 1st edition,3.0,85915.0,257746.0,Unknown Author,N/A,Unknown Publisher
,104.0,Principles of Programming: Computer programming for kids and beginners Kindle Edition  ,5.0,31114.0,155571.0,Unknown Author,N/A,Unknown Publisher
,105.0,The C Programming Language (2nd Edition),6.0,71798.0,430786.0,Unknown Author,N/A,Unknown Publisher
,106.0,Learn C the Hard Way,4.0,58257.0,233027.0,Unknown Author,N/A,Unknown Publisher
,107.0,"C Programming: A Modern Approach,2 edition",6.0,154198.0,925186.0,Unknown Author,N/A,Unknown Publisher
,108.0,Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14;1 edition,4.0,58669.0,234675.0,Unknown Author,N/A,Unknown Publisher
,109.0,The C++ Programming Language (4th Edition),4.0,70617.0,282467.0,Unknown Author,N/A,Unknown Publisher
,110.0,Accelerated C++: Practical Programming by Example; 1 edition,4.0,72347.0,289389.0,Unknown Author,N/A,Unknown Publisher
,111.0,Programming: Principles and Practice Using C++; 1 edition ,2.0,26862.0,53725.0,Unknown Author,978032154372,Unknown Publisher
,112.0,"Java Programming for Kids, Parents and Grandparents (java Kids) by Yuri Fain )",6.0,88278.0,529666.0,Unknown Author,N/A,Unknown Publisher
,113.0,Head First Java; 2nd edition ,4.0,111817.0,447267.0,Unknown Author,N/A,Unknown Publisher
,114.0,Head First Design Patterns; 1st edition,4.0,54137.0,216547.0,Unknown Author,N/A,Unknown Publisher
,115.0,Effective Java; 3 edition,2.0,50676.0,101352.0,Unknown Author,N/A,Unknown Publisher
,116.0,Java Concurrency in Practice; 1 edition ,2.0,46556.0,93112.0,Unknown Author,N/A,Unknown Publisher
,117.0,Java Generics and Collections; 1 edition ,4.0,54796.0,219184.0,Unknown Author,N/A,Unknown Publisher
,118.0,Java Performance; 1 edition ,2.0,54714.0,109427.0,Unknown Author,N/A,Unknown Publisher
,119.0,Java Puzzlers; 1 edition ,2.0,50676.0,101352.0,Unknown Author,N/A,Unknown Publisher
,120.0,Head First Object-Oriented Analysis and Design; 1 edition,4.0,70617.0,282467.0,Unknown Author,N/A,Unknown Publisher
,121.0,Thinking in Java; 4 edition ,4.0,78857.0,315427.0,Unknown Author,N/A,Unknown Publisher
,122.0,Java SE 8 for the Really Impatient; 1 edition,2.0,50676.0,101352.0,Unknown Author,9781430265740,Unknown Publisher
,123.0,"Java in a Nutshell, Édition : 7th Revised edition ",2.0,51418.0,102835.0,Unknown Author,N/A,Unknown Publisher
,124.0,Soft Skills: The software developer's life manual ,1.0,46638.0,46638.0,Unknown Author,N/A,Unknown Publisher
,125.0,Android Programming: The Big Nerd Ranch Guide (3rd Edition) ,4.0,70617.0,282467.0,Unknown Author,N/A,Unknown Publisher
,126.0,Mobile App Development with HTML5 1st Edition By ,2.0,30076.0,60152.0,Unknown Author,N/A,Unknown Publisher
,127.0,Beginning Hybrid Mobile Application Development 1st ed. Edition,2.0,55538.0,111075.0,Unknown Author,N/A,Unknown Publisher
,128.0,Getting Started Multimedia Design ,1.0,29994.0,29994.0,Unknown Author,N/A,Unknown Publisher
,129.0,Designing Brand Identity: An Essential Guide for the Whole Branding Team 3rd Edition,2.0,103330.0,206659.0,Unknown Author,9781003099857,Unknown Publisher
,130.0,The Elements of Typographic Style: Version 4.0: 20th Anniversary Edition Fourth Edition,1.0,23402.0,23402.0,Unknown Author,N/A,Unknown Publisher
,131.0,"The Animator's Survival Kit: A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators; Fourth Edition, Revised edition ",2.0,46474.0,92947.0,Unknown Author,N/A,Unknown Publisher
,132.0,Cartoon Animation ( the Collector's Series) Paperback – 1994,2.0,30158.0,60317.0,Unknown Author,N/A,Unknown Publisher
,133.0,"Foundations of Embedded Systems (Studies in Systems, Decision and Control) 1st ed. 2019 Edition",4.0,131783.0,527133.0,Unknown Author,N/A,Unknown Publisher
,134.0,Embedded System Interfacing: Design for the Internet-of-Things (IoT) and Cyber-Physical Systems (CPS) 1st Edition,4.0,95337.0,381347.0,Unknown Author,97810032983356,Unknown Publisher
,135.0,Logic Synthesis for Compositional Microprogram Control Units (Lecture Notes in Electrical Engineering) 2008th Edition,2.0,307334.0,614667.0,Error,N/A,Error
,136.0,Design of Digital Systems and Devices (Lecture Notes in Electrical Engineering) 2011th Edition,2.0,280654.0,561309.0,Error,N/A,Error
,137.0,The Circuit Designer's Companion 2nd Edition,2.0,137524.0,275049.0,Error,N/A,Error
,138.0,High Speed Digital Design: A Handbook of Black Magic 1st Edition,2.0,153594.0,307187.0,Error,N/A,Error
,,Total,,12438228.44,42658034.2,Error,N/A,Error
,1.0,Introduction to probability and statistics for engineers and scientists: Third Edition,3.0,440751.0,1322254.0,Sheldon M. Ross,9780080547343,Elsevier Science
,2.0,Discrete Mathematics and its Applications: Seventh Edition,3.0,234235.0,702706.0,Kenneth H. Rosen,9780077418939,McGraw-Hill
,3.0,Applied Numerical Analysis: Seventh Edition,3.0,94320.0,282960.0,"Prabir K. Chandra, R. Paul Singh",9780849324543,CRC-Press
,4.0,"Linear Algebra and Its Applications, 4th Edition",3.0,114073.0,342219.0,David C. Lay,9780321385178,Addison-Wesley
,5.0,Discrete and Combinatorial Mathematics: 5th edition,3.0,235883.0,707650.0,Ralph P. Grimaldi,9780201726343,collection
,6.0,Differential Equations and Boundary Values Problems. Computing and Modeling: 5 edition,3.0,235883.0,707650.0,"C. Edwards, David Penney, David Calvis",9780134837390,Pearson Education
,7.0,Introduction to Graph Theory,3.0,170000.0,510000.0,Robin J. Wilson,9780273728894,Longman
